method,test_index,original_score,target_threshold,status,cf_score,reason,message,cf_array_file,meta_donor_idx,meta_alpha,meta_donor_distance,meta_score_before,meta_score_after,meta_strict_donor_threshold,meta_shortlist_size,meta_n_attempts,meta_constraint_violation,meta_constraint_breakdown,meta_runtime_ms,meta_changed_features,meta_changed_timesteps,meta_top_changed_features,meta_top_changed_timesteps,meta_edit_mask,meta_delta_l1,meta_delta_l2,meta_segment_start,meta_segment_end,meta_context_start,meta_context_end,meta_segment_distance,meta_smoothing_used,meta_n_segments_considered,meta_n_candidates_evaluated,meta_motif_length,meta_chosen_motif_source,meta_shape_distance,meta_boundary_penalty,meta_motif_rank_score,meta_affine_a,meta_affine_b,meta_pareto_size,meta_best_objectives,meta_best_objective_names,meta_top_solutions,meta_generations,meta_population_size,meta_warning,meta_threshold,meta_valid,meta_mutation_sigma,meta_structured_mutation_weight,meta_use_plausibility_objective,meta_history_best_validity,meta_history_best_proximity,meta_random_seed
nearest,490,2.4349732398986816,2.240555763244629,success,0.6309447315526581,N/A,N/A,cf_nearest_window_490.npy,69.0,0.5,0.6245080678001449,2.4349721667749145,0.6309447315526581,2.240555763244629,10.0,50.0,0.0,"{'immutable': 0.0, 'bounds': 0.0, 'max_delta_per_step': 0.0, 'relational_linear': 0.0}",267.36585423350334,"[2, 5, 1, 3, 4, 0]","[23, 17, 14, 13, 21, 22, 16, 12, 18, 15, 19, 8, 9, 0, 1, 20, 2, 4, 3, 5, 10, 11, 6, 7]","[{'feature': 2, 'abs_delta_sum': 25.988855876092252}, {'feature': 5, 'abs_delta_sum': 12.014608048155269}, {'feature': 1, 'abs_delta_sum': 7.857719012719094}]","[{'timestep': 23, 'abs_delta_sum': 9.164080375575466}, {'timestep': 17, 'abs_delta_sum': 6.4098435157547975}, {'timestep': 14, 'abs_delta_sum': 6.0486939508427655}]","[[ True  True False  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True False  True]
 [ True  True False  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True  True False]
 [ True  True False  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True False  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True False  True  True  True]
 [ True  True  True  True False  True]
 [ True  True False  True False  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]]",57.49594993886181,11.43937290098797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
segment,490,2.4349732398986816,2.240555763244629,success,0.688103287817451,N/A,N/A,cf_segment_window_490.npy,72.0,,,2.4349721667749145,0.688103287817451,,,,0.0,"{'immutable': 0.0, 'bounds': 0.0, 'max_delta_per_step': 0.0, 'relational_linear': 0.0}",21.80800586938858,"[2, 5, 3, 0, 1, 4]","[23, 22, 20, 21, 19, 0, 2, 1, 8, 9, 10, 3, 4, 5, 6, 7, 15, 14, 13, 12, 11, 18, 16, 17]","[{'feature': 2, 'abs_delta_sum': 21.263609353166387}, {'feature': 5, 'abs_delta_sum': 6.239470363172423}, {'feature': 3, 'abs_delta_sum': 6.089991440371508}]","[{'timestep': 23, 'abs_delta_sum': 15.824126893473288}, {'timestep': 22, 'abs_delta_sum': 10.284425954114347}, {'timestep': 20, 'abs_delta_sum': 7.172913089250333}]","[[False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [ True  True False  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]]",42.128106132652164,12.921012035972993,19.0,23.0,17.0,23.0,4.372630881324275,True,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,
motif,490,2.4349732398986816,2.240555763244629,success,0.7124557878330494,N/A,N/A,cf_motif_window_490.npy,,,,2.4349721667749145,0.7124557878330494,,,,0.0,"{'immutable': 0.0, 'bounds': 0.0, 'max_delta_per_step': 0.0, 'relational_linear': 0.0}",355.17461970448494,"[2, 3, 0, 5, 4, 1]","[23, 22, 20, 18, 19, 21, 0, 1, 8, 9, 2, 3, 4, 5, 6, 7, 15, 14, 13, 12, 11, 10, 16, 17]","[{'feature': 2, 'abs_delta_sum': 27.239603130351004}, {'feature': 3, 'abs_delta_sum': 8.691642871327652}, {'feature': 0, 'abs_delta_sum': 7.894697155651794}]","[{'timestep': 23, 'abs_delta_sum': 20.92208783089682}, {'timestep': 22, 'abs_delta_sum': 10.076943556215891}, {'timestep': 20, 'abs_delta_sum': 7.335082476167289}]","[[False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]]",57.01248162330869,17.47818943680037,18.0,23.0,,,,,3.0,15.0,6.0,"{'donor_idx': 1, 'segment_start': 11, 'segment_end': 16}",3.0056595597459177,3.094390779844191,3.624537715714756,-0.0500561211091597,1.674142660388421,,,,,,,,,,,,,,,
genetic,490,2.4349732398986816,2.240555763244629,success,2.2298732240744052,N/A,N/A,cf_genetic_window_490.npy,,,,,,,,,0.0,"{'immutable': 0.0, 'bounds': 0.0, 'max_delta_per_step': 0.0, 'relational_linear': 0.0, 'validity': 0.0}",7644.904665648937,"[2, 3, 1, 4, 5, 0]","[23, 12, 11, 3, 5, 17, 15, 20, 22, 14, 7, 9, 10, 2, 21, 1, 8, 6, 16, 19, 0, 18, 4, 13]","[{'feature': 2, 'abs_delta_sum': 3.7836036054044837}, {'feature': 3, 'abs_delta_sum': 1.5642847576898253}, {'feature': 1, 'abs_delta_sum': 1.1786783363031108}]","[{'timestep': 23, 'abs_delta_sum': 0.8888328550206295}, {'timestep': 12, 'abs_delta_sum': 0.7164541482464799}, {'timestep': 11, 'abs_delta_sum': 0.7089725547774848}]","[[ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]]",9.777525037162638,1.2728802970902233,,,,,,,,,,,,,,,,50.0,"[2.2298732240744052, 1.6202242507204951, 1.0, 1.3214037071660951]","['validity', 'proximity', 'sparsity', 'plausibility']","[{'score_cf': 2.2298732240744052, 'proximity': 1.6202242507204951, 'sparsity': 1.0, 'violation': 0.0}, {'score_cf': 2.2365456002773567, 'proximity': 1.6565878968437984, 'sparsity': 1.0, 'violation': 0.0}, {'score_cf': 2.2259625190296313, 'proximity': 1.7441732235043044, 'sparsity': 1.0, 'violation': 0.0}, {'score_cf': 2.138283905979799, 'proximity': 2.5497380045382654, 'sparsity': 1.0, 'violation': 0.0}, {'score_cf': 2.038275464828073, 'proximity': 2.951946113704839, 'sparsity': 1.0, 'violation': 0.0}]",20.0,50.0,None,2.240555763244629,True,0.05,0.35,True,"[0.06180837329760167, 0.06180837329760167, 0.06180837329760167, 0.060862789527436185, 0.0550930197606056, 0.0550930197606056, 0.0550930197606056, 0.0550930197606056, 0.0550930197606056, 0.0550930197606056, 0.0550930197606056, 0.05453213472465901, 0.04909565045793482, 0.04909565045793482, 0.04909565045793482, 0.04909565045793482, 0.04909565045793482, 0.04909565045793482, 0.04909565045793482, 0.04909565045793482]","[350.63599201558765, 350.63599201558765, 350.63599201558765, 351.21053322654524, 336.256818455372, 336.256818455372, 336.256818455372, 336.256818455372, 336.256818455372, 336.256818455372, 336.256818455372, 336.47385397457305, 333.45587410322275, 333.45587410322275, 333.45587410322275, 333.45587410322275, 333.45587410322275, 333.45587410322275, 333.45587410322275, 333.45587410322275]",42.0
nearest,491,3.396397352218628,2.240555763244629,success,0.7675134424492921,N/A,N/A,cf_nearest_window_491.npy,69.0,0.75,1.166840608419405,3.396398855875605,0.7675134424492921,2.240555763244629,10.0,50.0,0.0,"{'immutable': 0.0, 'bounds': 0.0, 'max_delta_per_step': 0.0, 'relational_linear': 0.0}",234.2076599597931,"[2, 5, 1, 3, 4, 0]","[23, 22, 14, 17, 13, 16, 12, 20, 19, 15, 21, 18, 8, 0, 6, 2, 1, 7, 4, 9, 5, 3, 11, 10]","[{'feature': 2, 'abs_delta_sum': 56.702958275110355}, {'feature': 5, 'abs_delta_sum': 15.845352643219268}, {'feature': 1, 'abs_delta_sum': 12.460097291597418}]","[{'timestep': 23, 'abs_delta_sum': 26.79611150072013}, {'timestep': 22, 'abs_delta_sum': 12.234394799357165}, {'timestep': 14, 'abs_delta_sum': 8.757527515004847}]","[[ True  True False  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False False  True  True]
 [ True  True False  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True False  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True False False  True  True]
 [ True  True  True  True False  True]
 [ True  True  True  True False  True]
 [ True  True False  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]]",102.22261260478771,29.009047640346942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
segment,491,3.396397352218628,2.240555763244629,success,0.7585937535115602,N/A,N/A,cf_segment_window_491.npy,72.0,,,3.396398855875605,0.7585937535115602,,,,0.0,"{'immutable': 0.0, 'bounds': 0.0, 'max_delta_per_step': 0.0, 'relational_linear': 0.0}",38.62932696938515,"[2, 5, 3, 1, 0, 4]","[23, 22, 21, 19, 20, 0, 2, 1, 8, 9, 10, 3, 4, 5, 6, 7, 15, 14, 13, 12, 11, 18, 16, 17]","[{'feature': 2, 'abs_delta_sum': 54.34033501364743}, {'feature': 5, 'abs_delta_sum': 8.024249094963603}, {'feature': 3, 'abs_delta_sum': 7.299923514617501}]","[{'timestep': 23, 'abs_delta_sum': 33.322649928378}, {'timestep': 22, 'abs_delta_sum': 20.729836367651238}, {'timestep': 21, 'abs_delta_sum': 11.767621974429314}]","[[False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]]",80.45106417026813,31.50011920298627,19.0,23.0,17.0,23.0,23.84431186784559,True,2.0,16.0,,,,,,,,,,,,,,,,,,,,,,
motif,491,3.396397352218628,2.240555763244629,success,1.412759155269623,N/A,N/A,cf_motif_window_491.npy,,,,3.396398855875605,1.412759155269623,,,,0.0,"{'immutable': 0.0, 'bounds': 0.0, 'max_delta_per_step': 0.0, 'relational_linear': 0.0}",694.6071945130825,"[2, 1, 4, 5, 0, 3]","[23, 22, 21, 19, 18, 20, 0, 1, 8, 9, 2, 3, 4, 5, 6, 7, 15, 14, 13, 12, 11, 10, 16, 17]","[{'feature': 2, 'abs_delta_sum': 54.94875792669572}, {'feature': 1, 'abs_delta_sum': 14.663398590044109}, {'feature': 4, 'abs_delta_sum': 12.166930587110336}]","[{'timestep': 23, 'abs_delta_sum': 37.66654596516748}, {'timestep': 22, 'abs_delta_sum': 23.681712754840042}, {'timestep': 21, 'abs_delta_sum': 14.097478294181663}]","[[False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]]",106.93995408220317,34.52992378779216,18.0,23.0,,,,,6.0,30.0,6.0,"{'donor_idx': 49, 'segment_start': 3, 'segment_end': 8}",3.0705943081651346,3.5776574338214395,3.7861257949294225,1.238854555514106,1.4931357261673908,,,,,,,,,,,,,,,
genetic,491,3.396397352218628,2.240555763244629,success,2.2161781137006553,N/A,N/A,cf_genetic_window_491.npy,,,,,,,,,0.0,"{'immutable': 0.0, 'bounds': 0.0, 'max_delta_per_step': 0.0, 'relational_linear': 0.0, 'validity': 0.0}",7570.592984557152,"[2, 5, 0, 3, 1, 4]","[9, 10, 23, 11, 17, 16, 21, 13, 15, 14, 18, 12, 5, 19, 20, 6, 7, 22, 3, 8, 4, 1, 0, 2]","[{'feature': 2, 'abs_delta_sum': 8.211337136044005}, {'feature': 5, 'abs_delta_sum': 6.672739375896713}, {'feature': 0, 'abs_delta_sum': 5.250276046238097}]","[{'timestep': 9, 'abs_delta_sum': 3.692145444229942}, {'timestep': 10, 'abs_delta_sum': 2.970654795467587}, {'timestep': 23, 'abs_delta_sum': 2.944927726899338}]","[[ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]]",32.18399309446879,4.513924976539972,,,,,,,,,,,,,,,,50.0,"[2.2161781137006553, 20.37551869383138, 1.0, 3.306023940779534]","['validity', 'proximity', 'sparsity', 'plausibility']","[{'score_cf': 2.2161781137006553, 'proximity': 20.37551869383138, 'sparsity': 1.0, 'violation': 0.0}, {'score_cf': 2.1655967831628127, 'proximity': 21.922127753634733, 'sparsity': 1.0, 'violation': 0.0}, {'score_cf': 2.124392635968249, 'proximity': 22.513738043355843, 'sparsity': 1.0, 'violation': 0.0}, {'score_cf': 2.05794529253589, 'proximity': 24.10660037276431, 'sparsity': 1.0, 'violation': 0.0}, {'score_cf': 1.9185445714858442, 'proximity': 27.82997149659295, 'sparsity': 1.0, 'violation': 0.0}]",20.0,50.0,None,2.240555763244629,True,0.05,0.35,True,"[0.1081067873249294, 0.1081067873249294, 0.09323814935075829, 0.09323814935075829, 0.09323814935075829, 0.09323814935075829, 0.09323814935075829, 0.09323814935075829, 0.09323814935075829, 0.09323814935075829, 0.09323814935075829, 0.09323814935075829, 0.09041277260335191, 0.09041277260335191, 0.09010994562918893, 0.09010994562918893, 0.09010994562918893, 0.09010994562918893, 0.09010994562918893, 0.09003268687831371]","[489.08143524608727, 489.08143524608727, 485.3434373626396, 485.3434373626396, 485.3434373626396, 485.3434373626396, 485.3434373626396, 485.3434373626396, 485.3434373626396, 485.3434373626396, 485.3434373626396, 485.3434373626396, 478.8570013662255, 478.8570013662255, 479.21403440009067, 479.21403440009067, 479.21403440009067, 479.21403440009067, 479.21403440009067, 465.5093740219629]",42.0
nearest,492,2.5718791484832764,2.240555763244629,success,0.8647623565944812,N/A,N/A,cf_nearest_window_492.npy,69.0,0.75,1.3741583095575305,2.5718790665522717,0.8647623565944812,2.240555763244629,10.0,50.0,0.0,"{'immutable': 0.0, 'bounds': 0.0, 'max_delta_per_step': 0.0, 'relational_linear': 0.0}",233.64805802702904,"[2, 5, 1, 3, 4, 0]","[22, 23, 21, 14, 17, 18, 13, 12, 20, 16, 7, 15, 11, 9, 5, 10, 6, 8, 2, 0, 1, 4, 19, 3]","[{'feature': 2, 'abs_delta_sum': 70.87869784388796}, {'feature': 5, 'abs_delta_sum': 15.105322437354634}, {'feature': 1, 'abs_delta_sum': 13.021362935363069}]","[{'timestep': 22, 'abs_delta_sum': 25.358287075535703}, {'timestep': 23, 'abs_delta_sum': 19.707879683514548}, {'timestep': 21, 'abs_delta_sum': 9.161217389785449}]","[[ True  True False  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True  True False]
 [ True  True False  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True  True  True]
 [ True  True False  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True False  True  True  True]
 [ True  True  True  True  True  True]
 [False  True  True  True  True  True]
 [False  True  True  True  True  True]
 [ True False False  True False  True]
 [ True  True  True  True False  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]]",120.68949202708335,31.92279965346959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
segment,492,2.5718791484832764,2.240555763244629,success,1.5345654679612728,N/A,N/A,cf_segment_window_492.npy,74.0,,,2.5718790665522717,1.5345654679612728,,,,0.0,"{'immutable': 0.0, 'bounds': 0.0, 'max_delta_per_step': 0.0, 'relational_linear': 0.0}",38.105033338069916,"[2, 4, 0, 5, 3, 1]","[22, 23, 21, 20, 19, 0, 2, 1, 8, 9, 10, 3, 4, 5, 6, 7, 15, 14, 13, 12, 11, 18, 16, 17]","[{'feature': 2, 'abs_delta_sum': 63.79082805949916}, {'feature': 4, 'abs_delta_sum': 9.762533456897998}, {'feature': 0, 'abs_delta_sum': 7.078106007135372}]","[{'timestep': 22, 'abs_delta_sum': 30.568829868964546}, {'timestep': 23, 'abs_delta_sum': 28.971855922614413}, {'timestep': 21, 'abs_delta_sum': 10.88123336300386}]","[[False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [False False False False False False]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]
 [ True  True  True  True  True  True]]",87.89941984518039,36.69880780894115,19.0,23.0,17.0,23.0,33.08075064198764,True,2.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,
